Daerah,Nama Kuliner,"Bahan Utama (mis: beras,labu)",Bahan pengganti (mis: sagu),"Bahan pelengkap (mis: sayur kangkung, daun singkong)","Bentuk dan tekstur (mis: kuah kental, lembek)",Cara penyajian khusus (mis: dengan daun pisang),Deskripsikan Aroma lebih detail,Deskripsikan Rasa lebih detail,Apa rasa dominan kuliner tersebut ? [Nasi jajan],Level Pedas kuliner lokal di bawah ini [Nasi jajan],Level Gurih kuliner lokal di bawah ini [Nasi jajan],Level Manis kuliner lokal di bawah ini [Nasi jajan],Level Asin kuliner lokal di bawah ini [Nasi jajan],Level Asam kuliner lokal di bawah ini [Nasi jajan],Bagaimana aroma kuliner tersebut? [Nasi jajan],Nutrisi dari makanan [Nasi jajan],Tekstur makanan (mudah dikunyah/ tingkat kelembutan makanan) [Nasi jajan],Penggunaan bahan alami [Nasi jajan],Kesegaran makanan [Nasi jajan],Kebersihan makanan [Nasi jajan],Status halal makanan [Nasi jajan]
Pamekasan,Nasi Jajan,beras dan dendeng sapi,-,"telur rebus,daging sapi, serundeng",daging kriuk,menggunakan daun pisang,aroma bumbu yg khas,rasa gurih,Asin dengan dominan bumbu rempah tertentu,2,3,2,3,1,Agak berbau khas tertentu,3,3,3,3,4,Halal
,,daging sapi,-,"serundeng, telur, irisan kentang",kuah santan yg kental,di bungkus daun pisang,aroma kuah yang khas,rasa gurih dan asin,Gurih dengan dominan bumbuu rempah tertentu,2,4,2,3,1,Aroma rempah yang kuat,3,3,4,4,4,Halal
,,"Daging sapi, beras",-,"irisan kentang goreng, potongan daging sapi dan telur rebus",teksturnya dendeng sapi yang kriuk dan kuah yg kental,penyajian menggunakan daun pisang,aroma bumbu yang sangat khas ,rasanya gurih asin dan sedikit manis,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Agak berbau khas tertentu,5,3,5,5,5,Halal
,,daging sapi,-,"telur, daging sapi dan serundeng",kuah yang kental dan daging yg kriuk,di bungkus daun pisang,aroma bumbu yang khas,rasanya gurih,Gurih dengan dominan bumbuu rempah tertentu,3,5,3,3,0,Agak berbau khas tertentu,4,5,5,5,5,Halal
,,nasi punel dan aneka lauk,-,"dendeng krispi,telur,kentang goreng iris",daging sapi yg krispi ,menggunakan daun pisang sebagai bungkusan,aroma kuah yg gurih,gurih dengan aroma rempah tertentu,Gurih dengan dominan bumbuu rempah tertentu,4,5,4,4,2,Aroma rempah yang kuat,4,4,5,5,5,Halal
Ambon,Nasi kelapa,"beras, kelapa",tidak ada,"ikan saus, ikan asin, serundeng, cabai prekedel",nasi pulen,dibungkus daun pisang,"aroma santan, serundeng","asam, asin",Pedas dengan dominan bumbu rempah tertentu,4,2,3,1,1,Aroma rempah yang sedang,2,2,1,4,5,Halal
,Ikan bakar,ikan kembung kawalinya,ikan tongkol,lemon cina,garam,tidak ada,,,Pedas dengan rasa cabai kuat,5,3,4,2,2,Aroma rempah yang sedang,2,2,1,5,5,Halal
,Sambal colo-colo,lemon cina,tidak ada,"daun kemang, bawang merah, cabai rawit, tomat",irisan bahan lengkap,tidak ada,aroma segar asam,asam pedas,Pedas dengan rasa cabai kuat,5,2,3,3,4,Agak berbau khas tertentu,2,2,1,5,5,Halal
,Nasi kelapa,"beras, kelapa",tidak ada,"ikan saus, ikan asin, serundeng, cabai prekedel",nasi pulen,dibungkus daun pisang,"aroma santan, serundeng","asam, asin",Gurih dengan dominan bumbuu rempah tertentu,1,2,2,1,0,Agak berbau khas tertentu,2,1,5,3,1,Tidak tahu
,Ikan bakar,ikan kembung kawalinya,ikan tongkol,lemon cina,garam,tidak ada,aroma ikan segar,gurih,Gurih penyedap,0,2,1,0,0,Agak berbau khas tertentu,3,2,5,3,1,Tidak tahu
